,Player,Pos,Age,G,GS,MP,ORtg,DRtg,OBPM,DBPM,eFG%,FTR,TRB%,TOV%,Salary,Salary Adjusted,Rating Model Salary,Four Factors Salary,Average Predicted Salary
0,Precious Achiuwa,Center,22.0,73.0,28.0,23.6,105.0,110.0,-2.0,-0.6,48.6,13.253012048192772,14.9,11.3,2711.28,2956.915,4457.970696826548,4187.261725345259,4322.616211085904
1,Steven Adams,Center,28.0,76.0,75.0,26.3,125.0,108.0,1.0,1.0,54.7,27.450980392156865,19.9,19.6,17073.171,18619.958,14032.908986911749,15784.045906123943,14908.477446517845
2,Bam Adebayo,Center,24.0,56.0,56.0,32.6,117.0,104.0,1.7,2.1,55.7,35.38461538461538,17.5,14.4,28103.5,30649.609,18284.39315088632,19996.133113393877,19140.2631321401
3,LaMarcus Aldridge,Center,36.0,47.0,12.0,22.3,119.0,112.0,1.3,-0.6,56.6,19.587628865979383,13.4,8.0,2641.691,2881.021,12396.308671694325,4898.535096677959,8647.421884186142
4,Nickeil Alexander-Walker,Guard,23.0,65.0,21.0,22.6,98.0,114.0,-1.8,-1.1,44.9,11.428571428571429,7.1,11.3,3261.48,3556.962,4913.4727976461945,3736.132353688988,4324.802575667592
5,Grayson Allen,Guard,26.0,66.0,61.0,27.3,122.0,114.0,0.6,-0.2,58.8,11.627906976744184,6.5,6.7,4054.695,4422.04,6051.433682035653,5236.321862966413,5643.877772501033
6,Jarrett Allen,Center,23.0,56.0,56.0,32.3,132.0,106.0,2.7,1.2,67.80000000000001,29.89690721649485,18.4,12.7,20000.0,21811.951,14298.280230307673,19671.726424668454,16985.003327488062
7,Jose Alvarado,Guard,23.0,54.0,1.0,15.4,114.0,109.0,-0.5,2.4,50.0,12.962962962962962,6.6,11.2,1925.406,2099.843,2209.5737067144883,2176.717804395207,2193.1457555548477
8,Kyle Anderson,Forward,28.0,69.0,11.0,21.5,110.0,106.0,-0.9,2.1,48.4,14.705882352941178,13.0,12.1,9937.15,10837.431,9464.599905046276,6885.865414129236,8175.232659587757
9,Giannis Antetokounmpo,Forward,27.0,67.0,67.0,32.9,124.0,106.0,7.6,3.5,58.2,44.623655913978496,18.7,12.2,39344.9,42909.452,36893.92506965124,35428.33525228968,36161.13016097046
10,Thanasis Antetokounmpo,Forward,29.0,48.0,6.0,9.9,113.0,112.0,-3.5,-0.1,55.50000000000001,22.22222222222222,11.3,14.9,1729.217,1885.879,2620.6843448066666,2418.7338338606546,2519.709089333661
11,Carmelo Anthony,Forward,37.0,69.0,3.0,26.0,114.0,114.0,0.4,-0.8,54.400000000000006,18.09523809523809,8.6,6.9,2641.691,2881.021,3298.0316115763535,4576.903529444499,3937.4675705104264
12,Cole Anthony,Guard,21.0,65.0,65.0,31.7,103.0,114.0,-0.6,-0.6,46.400000000000006,23.57142857142857,8.9,14.2,3449.4,3761.907,13076.744106439166,5530.091001304492,9303.41755387183
13,OG Anunoby,Forward,24.0,48.0,48.0,36.0,112.0,111.0,0.4,0.1,52.6,13.103448275862068,8.3,9.7,16071.429,17527.461,14555.160538116465,13725.047174914376,14140.10385651542
