,Player,Pos,Age,G,GS,MP,OBPM,DBPM,ORtg,DRtg,Salary,Salary Adjusted
0,Precious Achiuwa,Forward,21.0,61.0,4.0,12.1,-3.6,-0.5,107.0,109.0,2582160,2967925
1,Steven Adams,Center,27.0,58.0,58.0,27.7,-0.4,0.1,122.0,112.0,29592695,34013743
2,Bam Adebayo,Center,23.0,64.0,64.0,33.5,2.9,2.0,122.0,108.0,5115492,5879729
3,LaMarcus Aldridge,Center,35.0,26.0,23.0,25.9,-0.2,-0.2,109.0,113.0,17628340,20261954
4,Nickeil Alexander-Walker,Guard,22.0,46.0,13.0,21.9,-1.4,0.1,101.0,112.0,3113160,3578255
5,Grayson Allen,Guard,25.0,50.0,38.0,25.2,-0.2,0.1,116.0,113.0,2545320,2925582
6,Jarrett Allen,Center,22.0,63.0,45.0,29.6,1.3,-0.2,127.0,112.0,3909902,4494028
7,Al-Farouq Aminu,Forward,30.0,23.0,14.0,18.9,-4.9,1.1,91.0,111.0,9720900,11173169
8,Kyle Anderson,Forward,27.0,69.0,69.0,27.3,1.4,1.9,118.0,109.0,9505100,10925129
9,Giannis Antetokounmpo,Forward,26.0,61.0,61.0,33.0,6.2,2.8,122.0,107.0,27528088,31640691
10,Thanasis Antetokounmpo,Forward,28.0,57.0,3.0,9.7,-3.7,0.2,104.0,112.0,1701593,1955805
11,Carmelo Anthony,Forward,36.0,69.0,3.0,24.5,0.2,-1.3,112.0,117.0,2564753,2947918
12,Cole Anthony,Guard,20.0,47.0,34.0,27.1,-1.9,-1.4,98.0,116.0,3285120,3775905
13,OG Anunoby,Forward,23.0,43.0,43.0,33.3,0.8,0.4,113.0,112.0,3872215,4450710
14,Ryan Arcidiacono,Guard,26.0,44.0,0.0,10.2,-2.6,0.3,118.0,114.0,3000000,3448189
15,Trevor Ariza,Forward,35.0,30.0,27.0,28.0,-1.2,0.1,111.0,111.0,12800000,14712276
16,DJ Augustin,Guard,33.0,57.0,12.0,19.8,-0.6,-1.5,117.0,117.0,6666667,7662644
17,Deni Avdija,Forward,20.0,54.0,32.0,23.3,-3.6,0.4,103.0,113.0,4469160,5136837
18,Deandre Ayton,Center,22.0,69.0,69.0,30.7,1.1,0.1,127.0,109.0,10018200,11514885
