,Player,Pos,Age,G,GS,MP,eFG%,FTR,TRB%,TOV%,Salary,Salary Adjusted
0,Precious Achiuwa,Forward,21.0,61.0,4.0,12.1,54.400000000000006,24.324324324324323,16.1,13.5,2582160,2967925
1,Steven Adams,Center,27.0,58.0,58.0,27.7,61.4,18.867924528301888,17.4,17.5,29592695,34013743
2,Bam Adebayo,Center,23.0,64.0,64.0,33.5,57.099999999999994,35.2,15.3,15.0,5115492,5879729
3,LaMarcus Aldridge,Center,35.0,26.0,23.0,25.9,52.5,14.035087719298245,9.4,7.9,17628340,20261954
4,Nickeil Alexander-Walker,Guard,22.0,46.0,13.0,21.9,50.2,10.0,7.8,12.4,3113160,3578255
5,Grayson Allen,Guard,25.0,50.0,38.0,25.2,54.7,19.277108433734938,6.7,9.6,2545320,2925582
6,Jarrett Allen,Center,22.0,63.0,45.0,29.6,62.4,41.55844155844156,18.9,14.1,3909902,4494028
7,Al-Farouq Aminu,Forward,30.0,23.0,14.0,18.9,42.4,18.6046511627907,13.3,20.5,9720900,11173169
8,Kyle Anderson,Forward,27.0,69.0,69.0,27.3,54.0,22.10526315789474,11.1,10.4,9505100,10925129
9,Giannis Antetokounmpo,Forward,26.0,61.0,61.0,33.0,60.0,36.11111111111111,17.5,13.2,27528088,31640691
10,Thanasis Antetokounmpo,Forward,28.0,57.0,3.0,9.7,51.5,16.666666666666668,11.8,21.3,1701593,1955805
11,Carmelo Anthony,Forward,36.0,69.0,3.0,24.5,50.6,17.699115044247787,6.8,6.7,2564753,2947918
12,Cole Anthony,Guard,20.0,47.0,34.0,27.1,44.9,19.65811965811966,9.0,14.8,3285120,3775905
13,OG Anunoby,Forward,23.0,43.0,43.0,33.3,57.99999999999999,15.702479338842975,9.1,11.7,3872215,4450710
14,Ryan Arcidiacono,Guard,26.0,44.0,0.0,10.2,52.6,11.11111111111111,8.3,7.4,3000000,3448189
15,Trevor Ariza,Forward,35.0,30.0,27.0,28.0,51.5,13.750000000000002,9.8,7.5,12800000,14712276
16,DJ Augustin,Guard,33.0,57.0,12.0,19.8,51.5,25.0,4.4,14.5,6666667,7662644
17,Deni Avdija,Forward,20.0,54.0,32.0,23.3,50.2,8.620689655172415,11.0,9.0,4469160,5136837
18,Deandre Ayton,Center,22.0,69.0,69.0,30.7,62.9,19.0,19.5,11.9,10018200,11514885
19,Dwayne Bacon,Guard,25.0,72.0,50.0,25.7,44.3,19.801980198019802,6.3,5.4,1678854,1929669
20,Marvin Bagley,Forward,21.0,43.0,42.0,25.9,54.2,15.789473684210526,15.9,9.7,8963640,10302777
21,LaMelo Ball,Guard,19.0,51.0,31.0,28.8,50.4,18.939393939393938,11.1,16.3,7839960,9011223
22,Lonzo Ball,Guard,23.0,55.0,55.0,31.8,53.7,7.086614173228346,8.2,14.5,11003782,12647709
23,Mo Bamba,Center,22.0,46.0,5.0,15.8,53.5,15.384615384615385,19.0,9.8,5969040,6860794
24,Desmond Bane,Guard,22.0,68.0,17.0,22.3,58.599999999999994,8.21917808219178,7.3,10.2,1936440,2225737
25,Harrison Barnes,Forward,28.0,58.0,58.0,36.2,57.49999999999999,30.630630630630627,10.2,11.1,22215909,25534890
26,RJ Barrett,Guard,20.0,72.0,72.0,34.9,49.9,19.727891156462583,8.9,10.5,8231760,9461557
27,Will Barton,Forward,30.0,56.0,52.0,31.0,50.7,15.596330275229356,7.4,12.7,13723214,15773415
28,Keita Bates-Diop,Forward,25.0,30.0,0.0,8.2,48.5,22.727272727272727,10.6,8.4,449115,516211
29,Nicolas Batum,Forward,32.0,67.0,38.0,27.4,59.699999999999996,11.475409836065573,9.7,10.8,11608231,13342461
30,Aron Baynes,Center,34.0,53.0,31.0,18.5,48.5,8.771929824561402,15.3,12.5,7000000,8045776
31,Kent Bazemore,Forward,31.0,67.0,18.0,19.9,54.50000000000001,13.559322033898304,9.1,16.1,2320044,2666650
32,Darius Bazley,Forward,20.0,55.0,55.0,31.2,45.6,18.4,12.0,13.7,2399160,2757586
33,Bradley Beal,Guard,27.0,60.0,60.0,35.8,53.2,29.565217391304348,7.0,10.6,28751774,33047191
34,Malik Beasley,Guard,24.0,37.0,36.0,32.8,54.7,11.111111111111112,7.2,8.6,13425895,15431678
35,DeAndre Bembry,Forward,26.0,51.0,12.0,19.1,54.400000000000006,20.0,8.3,21.6,1737145,1996668
36,Davis Bertans,Forward,28.0,57.0,7.0,25.7,58.099999999999994,21.428571428571427,6.1,5.9,15000000,17240949
37,Patrick Beverley,Guard,32.0,37.0,34.0,22.5,55.00000000000001,16.94915254237288,8.0,12.4,13333333,15325287
38,Saddiq Bey,Forward,21.0,70.0,53.0,27.3,53.0,18.181818181818183,9.3,7.4,2689920,3091784
39,Khem Birch,Center,28.0,67.0,22.0,22.8,51.4,24.561403508771928,13.4,9.2,3011499,3461406
40,Goga Bitadze,Center,21.0,45.0,3.0,12.5,47.9,23.25581395348837,14.5,7.1,2957520,3399363
41,Bismack Biyombo,Center,28.0,66.0,36.0,20.4,58.699999999999996,18.918918918918916,13.9,19.8,3500000,4022888
42,Nemanja Bjelica,Forward,32.0,37.0,3.0,16.1,52.300000000000004,18.867924528301888,11.9,13.1,7150000,8218185
43,Eric Bledsoe,Guard,31.0,71.0,70.0,29.7,50.3,18.44660194174757,6.3,12.3,16875000,19396067
44,Bogdan Bogdanovic,Guard,28.0,44.0,27.0,29.7,60.199999999999996,7.03125,6.7,8.5,18000000,20689139
45,Bojan Bogdanovic,Forward,31.0,72.0,72.0,30.8,53.6,25.0,6.7,10.9,17850000,20516729
46,Bol Bol,Forward,21.0,32.0,2.0,5.0,50.9,16.666666666666664,8.5,16.8,2058240,2365734
47,Isaac Bonga,Forward,21.0,40.0,8.0,10.8,45.1,5.0,8.1,20.7,1663861,1912436
48,Devin Booker,Guard,24.0,67.0,67.0,33.9,53.300000000000004,26.5625,7.0,12.4,29467800,33870189
49,Chris Boucher,Center,28.0,60.0,14.0,24.2,59.5,26.881720430107524,15.3,6.7,6500000,7471078
50,Avery Bradley,Guard,30.0,27.0,6.0,22.3,47.099999999999994,6.349206349206351,5.2,13.6,5635000,6476849
51,Tony Bradley,Center,23.0,42.0,8.0,16.3,66.5,19.148936170212767,18.6,13.0,3542060,4071231
52,Jarrell Brantley,Forward,24.0,28.0,0.0,4.9,59.599999999999994,5.2631578947368425,10.4,13.1,510586,586865
53,Mikal Bridges,Forward,24.0,72.0,72.0,32.6,64.3,16.129032258064516,7.5,7.3,4359000,5010219
54,Miles Bridges,Forward,22.0,66.0,19.0,29.3,59.599999999999994,15.957446808510637,11.1,13.6,3934320,4522094
55,Oshae Brissett,Forward,22.0,21.0,16.0,24.7,59.3,33.33333333333333,12.0,5.3,1255493,1443058
56,Malcolm Brogdon,Guard,28.0,56.0,56.0,34.5,52.7,15.42857142857143,8.3,9.8,20700000,23792509
57,Armoni Brooks,Guard,22.0,20.0,5.0,26.0,56.3,4.166666666666667,7.0,10.0,135362,155584
58,Dillon Brooks,Forward,25.0,67.0,67.0,29.8,48.1,15.584415584415584,5.2,9.6,11400000,13103121
59,Bruce Brown,Guard,24.0,65.0,37.0,22.3,57.599999999999994,20.0,13.3,10.2,1663861,1912436
60,Jaylen Brown,Guard,24.0,58.0,58.0,34.5,55.800000000000004,17.1875,9.7,11.5,25035118,28775279
61,Moses Brown,Center,21.0,43.0,32.0,21.4,54.50000000000001,29.03225806451613,21.6,11.7,1250000,1436745
62,Sterling Brown,Guard,25.0,51.0,14.0,24.1,58.4,7.575757575757576,9.7,10.5,1678854,1929669
63,Troy Brown,Forward,21.0,34.0,0.0,15.4,50.7,9.523809523809524,10.8,12.1,3372840,3876730
64,Jalen Brunson,Guard,24.0,68.0,12.0,25.0,58.8,19.565217391304348,7.5,10.3,1663861,1912436
65,Reggie Bullock,Forward,29.0,65.0,64.0,30.0,58.699999999999996,9.30232558139535,6.2,7.1,4200000,4827465
66,Trey Burke,Guard,28.0,62.0,1.0,14.7,51.0,14.035087719298245,3.3,8.0,3000000,3448189
67,Alec Burks,Guard,29.0,49.0,5.0,25.6,52.2,20.58823529411765,9.8,8.2,6000000,6896379
68,Jimmy Butler,Forward,31.0,52.0,52.0,33.6,51.4,48.591549295774655,11.8,10.6,34379100,39515221
69,Devontae Cacok,Forward,24.0,20.0,1.0,4.9,58.599999999999994,20.0,18.4,12.9,449115,516211
70,Kentavious Caldwell-Pope,Guard,27.0,67.0,67.0,28.4,54.900000000000006,18.421052631578945,5.3,10.6,12073020,13876688
71,Facundo Campazzo,Guard,29.0,65.0,19.0,21.9,50.2,25.0,5.3,17.1,3200000,3678069
72,Vlatko Cancar,Forward,23.0,41.0,1.0,6.9,52.1,11.111111111111112,10.1,15.3,1517981,1744762
73,Clint Capela,Center,26.0,63.0,63.0,30.1,59.4,19.090909090909093,26.1,8.4,18000000,20689139
74,Jevon Carter,Guard,25.0,60.0,1.0,12.0,54.7,2.7027027027027026,7.3,6.6,3925000,4511381
75,Wendell Carter,Center,21.0,54.0,44.0,25.5,52.0,28.235294117647058,17.4,12.7,5448840,6262878
76,Michael Carter-Williams,Guard,29.0,31.0,25.0,25.8,41.699999999999996,18.390804597701152,9.0,18.4,3300000,3793008
77,Alex Caruso,Guard,26.0,58.0,6.0,21.0,52.6,15.094339622641511,7.9,18.3,2750000,3160840
78,Willie Cauley-Stein,Center,27.0,53.0,16.0,17.1,63.5,26.47058823529412,14.3,11.8,4100000,4712526
79,Chris Chiozza,Guard,25.0,22.0,1.0,10.5,42.6,15.0,5.7,14.4,449115,516211
80,Gary Clark,Forward,26.0,39.0,11.0,16.8,42.0,5.882352941176471,9.1,11.1,2018458,2320008
81,Brandon Clarke,Forward,24.0,59.0,16.0,24.0,53.7,15.476190476190476,12.3,5.7,2602920,2991787
82,Jordan Clarkson,Guard,28.0,68.0,1.0,26.7,52.2,12.025316455696201,8.0,9.2,11500000,13218061
83,Nicolas Claxton,Center,21.0,32.0,1.0,18.6,62.4,22.22222222222222,15.4,9.4,1517981,1744762
84,Amir Coffey,Guard,23.0,44.0,1.0,9.0,54.900000000000006,26.08695652173913,6.3,11.1,578842,665319
85,John Collins,Forward,23.0,63.0,63.0,29.3,61.0,22.13114754098361,13.8,8.9,4137302,4755400
86,Mike Conley,Guard,33.0,51.0,51.0,29.4,55.2,19.2,6.3,12.4,34502132,39656633
87,Pat Connaughton,Guard,28.0,69.0,4.0,22.8,56.49999999999999,7.142857142857144,11.1,7.5,4938273,5676034
88,Quinn Cook,Guard,27.0,23.0,0.0,6.8,50.7,10.0,6.1,8.9,1981649,2277700
89,Tyler Cook,Forward,23.0,32.0,1.0,13.7,67.5,15.625,12.1,15.1,693141,796693
90,DeMarcus Cousins,Center,30.0,41.0,11.0,17.4,50.3,18.918918918918916,20.0,15.8,3051832,3507765
91,Robert Covington,Forward,30.0,70.0,70.0,32.0,53.300000000000004,9.58904109589041,11.1,10.7,12138345,13951772
92,Torrey Craig,Forward,30.0,50.0,8.0,16.1,56.599999999999994,6.666666666666667,13.7,9.6,1678854,1929669
93,Jae Crowder,Forward,30.0,60.0,42.0,27.5,55.50000000000001,12.195121951219514,9.7,9.5,9258000,10641113
94,Jarrett Culver,Guard,21.0,34.0,7.0,14.7,44.9,18.36734693877551,11.3,12.9,6104280,7016238
95,Seth Curry,Guard,30.0,57.0,57.0,28.7,58.199999999999996,12.371134020618557,4.6,10.0,7834449,9004889
96,Stephen Curry,Guard,32.0,63.0,63.0,34.2,60.5,26.267281105990786,8.5,12.2,43006362,49431367
97,Anthony Davis,Forward,27.0,36.0,36.0,32.3,51.2,25.882352941176475,13.8,9.5,32742000,37633544
98,Ed Davis,Center,31.0,23.0,7.0,13.0,43.2,21.05263157894737,20.8,12.4,5005350,5753132
99,Terence Davis,Guard,23.0,61.0,4.0,17.6,53.5,9.333333333333332,7.9,11.6,1517981,1744762
100,DeMar DeRozan,Forward,31.0,61.0,61.0,33.7,50.5,41.72185430463576,6.7,9.7,27739975,31884233
101,Hamidou Diallo,Forward,22.0,52.0,9.0,23.6,50.6,27.77777777777778,11.9,12.0,1663861,1912436
102,Gorgui Dieng,Center,31.0,38.0,1.0,14.5,61.3,34.883720930232556,13.5,14.3,17587688,20215228
103,Donte DiVincenzo,Guard,24.0,66.0,66.0,27.5,52.800000000000004,8.791208791208792,11.0,12.5,3044160,3498947
104,Luka Doncic,Guard,21.0,66.0,66.0,34.3,55.00000000000001,25.365853658536587,12.8,15.3,8049360,9251907
105,Luguentz Dort,Guard,21.0,52.0,52.0,29.7,47.5,18.699186991869915,6.4,10.0,1517981,1744762
106,Damyean Dotson,Guard,26.0,46.0,7.0,19.7,48.5,7.8125,5.7,12.0,2000000,2298793
107,Sekou Doumbouya,Forward,20.0,56.0,11.0,15.5,42.6,16.0,9.2,12.4,3449400,3964728
108,PJ Dozier,Guard,24.0,50.0,6.0,21.8,48.3,11.267605633802818,9.5,10.7,1762796,2026151
109,Goran Dragic,Guard,34.0,50.0,11.0,26.7,51.4,18.01801801801802,7.2,16.2,18000000,20689139
110,Andre Drummond,Center,27.0,46.0,46.0,27.0,49.3,21.774193548387096,24.9,15.8,28751774,33047190
111,Kevin Durant,Forward,32.0,35.0,32.0,33.1,60.8,34.883720930232556,11.8,14.5,40108950,46101091
112,Anthony Edwards,Guard,19.0,72.0,55.0,32.1,48.8,17.261904761904763,7.9,10.7,9757440,11215168
113,Carsen Edwards,Guard,22.0,31.0,1.0,8.9,50.5,11.111111111111112,5.2,5.7,1517981,1744762
114,CJ Elleby,Forward,20.0,30.0,0.0,6.4,43.2,18.181818181818183,8.9,6.4,898310,1032514
115,Wayne Ellington,Guard,33.0,46.0,31.0,22.0,61.199999999999996,8.21917808219178,4.7,8.5,3564753,4097314
116,Joel Embiid,Center,26.0,51.0,51.0,31.1,54.50000000000001,52.27272727272726,18.7,12.2,29542010,33955486
117,James Ennis,Forward,30.0,41.0,37.0,24.0,56.599999999999994,28.813559322033893,8.7,11.3,3300000,3793008
118,Drew Eubanks,Center,23.0,54.0,3.0,14.0,57.099999999999994,36.84210526315789,17.0,15.2,1620564,1862670
119,Derrick Favors,Center,29.0,68.0,0.0,15.3,63.800000000000004,25.0,19.2,11.5,9258000,10641113
120,Bruno Fernando,Center,22.0,33.0,0.0,6.8,40.9,38.46153846153846,18.9,28.1,1517981,1744762
121,Dorian Finney-Smith,Forward,27.0,60.0,60.0,32.0,60.0,6.4102564102564115,9.3,9.0,4000000,4597586
122,Malachi Flynn,Guard,22.0,47.0,14.0,19.7,45.300000000000004,13.88888888888889,6.9,10.5,1950600,2242013
123,Bryn Forbes,Guard,27.0,70.0,10.0,19.3,61.8,9.210526315789473,4.3,7.3,2337145,2686306
124,Trent Forrest,Guard,22.0,30.0,0.0,10.1,48.6,25.0,7.7,20.9,470690,541009
125,Evan Fournier,Forward,28.0,42.0,36.0,30.0,56.49999999999999,20.155038759689923,5.4,10.8,17150000,19712152
126,De'Aaron Fox,Guard,23.0,58.0,58.0,35.1,52.300000000000004,27.225130890052355,5.5,11.9,8099627,9309683
127,Wenyen Gabriel,Forward,23.0,21.0,0.0,11.5,50.8,17.24137931034483,12.2,18.2,1620564,1862670
128,Daniel Gafford,Center,22.0,54.0,11.0,14.6,68.4,30.952380952380953,15.8,13.1,1517981,1744762
129,Danilo Gallinari,Forward,32.0,51.0,4.0,24.0,54.2,34.40860215053763,9.5,7.2,19500000,22413234
130,Langston Galloway,Guard,29.0,40.0,0.0,11.0,57.099999999999994,16.216216216216214,5.4,7.6,2028594,2331659
131,Darius Garland,Guard,21.0,54.0,50.0,33.1,51.7,14.093959731543624,4.0,16.0,6720720,7724772
132,Marc Gasol,Center,36.0,52.0,42.0,19.1,58.199999999999996,18.918918918918916,12.2,19.7,2564753,2947918
133,Rudy Gay,Forward,34.0,63.0,1.0,21.6,50.5,13.0,11.9,8.8,14500000,16666250
134,Paul George,Forward,30.0,54.0,54.0,33.7,55.7,21.02272727272727,11.1,14.5,35450412,40746583
135,Taj Gibson,Center,35.0,45.0,3.0,20.8,63.6,25.71428571428572,14.5,10.8,3283684,3774255
