,Player,2020/21,2020/21(*)
0,Stephen Curry,"$43,006,362","$49,431,367"
1,Chris Paul,"$41,358,814","$47,537,680"
2,Russell Westbrook,"$41,358,814","$47,537,680"
3,James Harden,"$41,254,920","$47,418,265"
4,John Wall,"$41,254,920","$47,418,265"
5,Kevin Durant,"$40,108,950","$46,101,091"
6,LeBron James,"$39,219,566","$45,078,836"
7,Paul George,"$35,450,412","$40,746,583"
8,Klay Thompson,"$35,361,360","$40,644,227"
9,Mike Conley,"$34,502,132","$39,656,633"
10,Kemba Walker,"$34,379,100","$39,515,221"
11,Kawhi Leonard,"$34,379,100","$39,515,221"
12,Jimmy Butler,"$34,379,100","$39,515,221"
13,Tobias Harris,"$34,358,850","$39,491,945"
14,Blake Griffin,"$33,900,241","$38,964,821"
15,Kyrie Irving,"$33,722,850","$38,760,929"
16,Khris Middleton,"$33,051,724","$37,989,539"
17,Anthony Davis,"$32,742,000","$37,633,544"
18,Damian Lillard,"$31,626,953","$36,351,912"
19,Kevin Love,"$31,258,256","$35,928,133"
20,Ben Simmons,"$30,559,200","$35,124,641"
21,Pascal Siakam,"$30,559,200","$35,124,641"
22,Kyle Lowry,"$30,500,000","$35,056,596"
23,Steven Adams,"$29,592,695","$34,013,743"
24,Nikola Jokic,"$29,542,010","$33,955,486"
25,Andrew Wiggins,"$29,542,010","$33,955,486"
26,Joel Embiid,"$29,542,010","$33,955,486"
27,Kristaps Porzingis,"$29,467,800","$33,870,189"
28,Karl-Anthony Towns,"$29,467,800","$33,870,189"
29,Devin Booker,"$29,467,800","$33,870,189"
30,CJ McCollum,"$29,354,152","$33,739,563"
31,Andre Drummond,"$28,751,774","$33,047,190"
32,Bradley Beal,"$28,751,774","$33,047,191"
33,D'Angelo Russell,"$28,649,250","$32,929,351"
34,Gordon Hayward,"$28,500,000","$32,757,803"
35,Otto Porter,"$28,489,239","$32,745,434"
36,DeMar DeRozan,"$27,739,975","$31,884,233"
37,Giannis Antetokounmpo,"$27,528,088","$31,640,691"
38,Rudy Gobert,"$27,525,281","$31,637,464"
39,Al Horford,"$27,500,000","$31,608,407"
40,Jamal Murray,"$27,285,000","$31,361,286"
41,Brandon Ingram,"$27,285,000","$31,361,286"
42,Jrue Holiday,"$27,026,011","$31,063,605"
43,Nikola Vucevic,"$26,000,000","$29,884,312"
44,Jaylen Brown,"$25,035,118","$28,775,279"
45,Buddy Hield,"$24,931,817","$28,656,546"
46,Draymond Green,"$22,246,956","$25,570,575"
47,Harrison Barnes,"$22,215,909","$25,534,890"
48,Fred VanVleet,"$21,250,000","$24,424,678"
49,Victor Oladipo,"$21,000,000","$24,137,328"
50,Malcolm Brogdon,"$20,700,000","$23,792,509"
51,Julius Randle,"$19,845,000","$22,809,775"
52,Domantas Sabonis,"$19,800,000","$22,758,053"
53,Gary Harris,"$19,610,714","$22,540,488"
54,Danilo Gallinari,"$19,500,000","$22,413,234"
55,Zach LaVine,"$19,500,000","$22,413,234"
56,Jerami Grant,"$19,050,000","$21,896,005"
57,Tim Hardaway Jr,"$18,975,000","$21,809,800"
58,Terry Rozier,"$18,900,000","$21,723,596"
59,Aaron Gordon,"$18,136,364","$20,845,875"
60,Clint Capela,"$18,000,000","$20,689,139"
61,Bogdan Bogdanovic,"$18,000,000","$20,689,139"
62,Myles Turner,"$18,000,000","$20,689,139"
63,Goran Dragic,"$18,000,000","$20,689,139"
64,Bojan Bogdanovic,"$17,850,000","$20,516,729"
65,LaMarcus Aldridge,"$17,628,340","$20,261,954"
66,Gorgui Dieng,"$17,587,688","$20,215,228"
67,Evan Fournier,"$17,150,000","$19,712,152"
68,Ricky Rubio,"$17,000,000","$19,539,742"
69,Eric Bledsoe,"$16,875,000","$19,396,067"
70,Eric Gordon,"$16,869,267","$19,389,478"
71,Caris LeVert,"$16,203,704","$18,624,482"
72,Joe Harris,"$16,071,429","$18,472,446"
73,James Johnson,"$16,047,100","$18,444,482"
74,Dennis Schroeder,"$15,500,000","$17,815,647"
75,Cody Zeller,"$15,415,730","$17,718,787"
76,Danny Green,"$15,365,853","$17,661,459"
77,Jonas Valanciunas,"$15,000,000","$17,240,949"
78,Andre Iguodala,"$15,000,000","$17,240,949"
79,Davis Bertans,"$15,000,000","$17,240,949"
80,Marcus Morris,"$14,883,721","$17,107,298"
81,Rudy Gay,"$14,500,000","$16,666,250"
82,Kelly Oubre,"$14,375,000","$16,522,576"
83,Dejounte Murray,"$14,286,000","$16,420,280"
84,Will Barton,"$13,723,214","$15,773,415"
85,Thaddeus Young,"$13,545,000","$15,568,577"
86,Patrick Mills,"$13,535,714","$15,557,903"
87,Terrence Ross,"$13,500,000","$15,516,854"
88,Malik Beasley,"$13,425,895","$15,431,678"
89,Patrick Beverley,"$13,333,333","$15,325,287"
90,Christian Wood,"$13,015,874","$14,960,401"
91,JJ Redick,"$13,013,700","$14,957,902"
92,Justise Winslow,"$13,000,000","$14,942,156"
93,Marcus Smart,"$12,946,428","$14,880,580"
94,Jusuf Nurkic,"$12,888,889","$14,814,445"
95,Kelly Olynyk,"$12,819,650","$14,734,862"
96,Trevor Ariza,"$12,800,000","$14,712,276"
97,Brook Lopez,"$12,697,675","$14,594,664"
98,Dion Waiters,"$12,650,000","$14,539,867"
99,Cory Joseph,"$12,600,000","$14,482,397"
100,Markelle Fultz,"$12,288,697","$14,124,586"
101,Taurean Prince,"$12,250,000","$14,080,108"
102,Tony Snell,"$12,178,571","$13,998,008"
103,Robert Covington,"$12,138,345","$13,951,772"
104,Kentavious Caldwell-Pope,"$12,073,020","$13,876,688"
105,TJ Warren,"$12,000,000","$13,792,759"
106,Larry Nance Jr,"$11,709,091","$13,458,389"
107,Nicolas Batum,"$11,608,231","$13,342,461"
108,Jordan Clarkson,"$11,500,000","$13,218,061"
109,Spencer Dinwiddie,"$11,454,048","$13,165,244"
110,Dillon Brooks,"$11,400,000","$13,103,121"
111,Dwight Powell,"$11,080,125","$12,735,458"
112,Lonzo Ball,"$11,003,782","$12,647,709"
113,Josh Richardson,"$10,865,952","$12,489,288"
114,Norman Powell,"$10,865,952","$12,489,288"
115,Jeremy Lamb,"$10,500,000","$12,068,664"
116,DeAndre Jordan,"$10,375,678","$11,925,769"
117,Joe Ingles,"$10,363,637","$11,911,929"
118,Zion Williamson,"$10,245,480","$11,776,120"
119,Paul Millsap,"$10,100,000","$11,608,905"
120,Rodney Hood,"$10,047,450","$11,548,505"
121,Deandre Ayton,"$10,018,200","$11,514,885"
122,Tomas Satoransky,"$10,000,000","$11,493,966"
123,Jayson Tatum,"$9,897,120","$11,375,716"
124,Anthony Edwards,"$9,757,440","$11,215,168"
