,Player,Pos,Age,G,GS,MP,ORtg,DRtg,OBPM,DBPM,eFG%,FTR,TRB%,TOV%,Salary,Salary Adjusted,Rating Model Salary,Four Factors Salary,Average Predicted Salary
0,Precious Achiuwa,Center,22.0,73.0,28.0,23.6,105.0,110.0,-2.0,-0.6,48.6,13.253012048192772,14.9,11.3,2711.28,2956.915,3040.6379981568816,5108.303912152274,4074.470955154578
1,Steven Adams,Center,28.0,76.0,75.0,26.3,125.0,108.0,1.0,1.0,54.7,27.450980392156865,19.9,19.6,17073.171,18619.958,16138.131821809051,16672.32543766083,16405.228629734942
2,Bam Adebayo,Center,24.0,56.0,56.0,32.6,117.0,104.0,1.7,2.1,55.7,35.38461538461538,17.5,14.4,28103.5,30649.609,12140.087434419043,20381.6677922056,16260.877613312321
3,LaMarcus Aldridge,Center,36.0,47.0,12.0,22.3,119.0,112.0,1.3,-0.6,56.6,19.587628865979383,13.4,8.0,2641.691,2881.021,9998.8207890846,3792.539019687488,6895.679904386045
4,Nickeil Alexander-Walker,Guard,23.0,65.0,21.0,22.6,98.0,114.0,-1.8,-1.1,44.9,11.428571428571429,7.1,11.3,3261.48,3556.962,4525.071899617725,3455.015227065258,3990.0435633414913
5,Grayson Allen,Guard,26.0,66.0,61.0,27.3,122.0,114.0,0.6,-0.2,58.8,11.627906976744184,6.5,6.7,4054.695,4422.04,8404.552617835749,5775.663976322875,7090.108297079312
6,Jarrett Allen,Center,23.0,56.0,56.0,32.3,132.0,106.0,2.7,1.2,67.80000000000001,29.89690721649485,18.4,12.7,20000.0,21811.951,8824.832569022012,15485.960954026346,12155.396761524178
7,Jose Alvarado,Guard,23.0,54.0,1.0,15.4,114.0,109.0,-0.5,2.4,50.0,12.962962962962962,6.6,11.2,1925.406,2099.843,2655.5895724424495,2232.4995713785725,2444.044571910511
8,Kyle Anderson,Forward,28.0,69.0,11.0,21.5,110.0,106.0,-0.9,2.1,48.4,14.705882352941178,13.0,12.1,9937.15,10837.431,7981.550063428257,4741.59691319438,6361.573488311318
9,Giannis Antetokounmpo,Forward,27.0,67.0,67.0,32.9,124.0,106.0,7.6,3.5,58.2,44.623655913978496,18.7,12.2,39344.9,42909.452,40304.11248070477,28514.327212929627,34409.2198468172
10,Thanasis Antetokounmpo,Forward,29.0,48.0,6.0,9.9,113.0,112.0,-3.5,-0.1,55.50000000000001,22.22222222222222,11.3,14.9,1729.217,1885.879,3636.416207475044,3307.130162199466,3471.773184837255
11,Carmelo Anthony,Forward,37.0,69.0,3.0,26.0,114.0,114.0,0.4,-0.8,54.400000000000006,18.09523809523809,8.6,6.9,2641.691,2881.021,2787.7855905523998,3990.4522876399105,3389.1189390961554
12,Cole Anthony,Guard,21.0,65.0,65.0,31.7,103.0,114.0,-0.6,-0.6,46.400000000000006,23.57142857142857,8.9,14.2,3449.4,3761.907,10756.804589234194,5811.234004252832,8284.019296743514
13,OG Anunoby,Forward,24.0,48.0,48.0,36.0,112.0,111.0,0.4,0.1,52.6,13.103448275862068,8.3,9.7,16071.429,17527.461,10347.192221090969,12686.412213533516,11516.802217312243
14,Trevor Ariza,Forward,36.0,24.0,11.0,19.3,97.0,114.0,-3.3,-0.2,43.4,9.756097560975611,9.5,9.3,2641.691,2881.021,5977.479566710101,3814.2651704881187,4895.87236859911
15,DJ Augustin,Guard,34.0,55.0,2.0,16.1,112.0,120.0,-1.2,-2.4,57.7,17.5,4.2,18.9,7622.467,8313.044,4422.959548646696,7464.030847994937,5943.495198320817
16,Deni Avdija,Forward,21.0,82.0,8.0,24.2,106.0,113.0,-2.1,0.4,50.3,18.30985915492958,11.9,12.0,4692.84,5117.999,1984.7938430896852,3896.029196297489,2940.4115196935873
17,Deandre Ayton,Center,23.0,58.0,58.0,29.5,124.0,105.0,2.2,0.6,63.9,15.0,18.6,10.7,12632.95,13777.464,10138.40230936321,11713.660793097359,10926.031551230284
18,Marvin Bagley,Forward,22.0,48.0,25.0,23.9,112.0,114.0,-0.5,-1.8,53.0,15.053763440860212,16.0,7.4,11312.114,12336.964,4563.628674343941,5209.993406385714,4886.811040364828
19,LaMelo Ball,Guard,20.0,75.0,75.0,32.3,111.0,112.0,3.3,0.1,51.7,16.766467065868262,11.0,15.3,8231.76,8977.537,18537.328264709347,8858.162422892088,13697.745343800718
20,Lonzo Ball,Guard,24.0,35.0,35.0,34.6,110.0,111.0,0.9,1.6,56.7,5.504587155963303,8.8,17.2,18604.651,20290.187,7478.4283005696825,11313.433921240723,9395.931110905203
