,Unnamed: 0,Player,Pos,Age,G,GS,MP,OBPM,DBPM,ORtg,DRtg,Salary,Salary Adjusted,age_bin,games_bin,games_started_bin,mins_bin
0,0,Precious Achiuwa,Forward,21.0,61.0,4.0,12.1,-3.6,-0.5,107.0,109.0,2582.16,2967.925,"(18, 21]","(50.0, 65.0]","(-0.001, 20.0]","(10.0, 20.0]"
1,1,Steven Adams,Center,27.0,58.0,58.0,27.7,-0.4,0.1,122.0,112.0,29592.695,34013.743,"(24, 27]","(50.0, 65.0]","(40.0, 60.0]","(20.0, 30.0]"
2,2,Bam Adebayo,Center,23.0,64.0,64.0,33.5,2.9,2.0,122.0,108.0,5115.492,5879.729,"(21, 24]","(50.0, 65.0]","(60.0, 82.0]","(30.0, 40.0]"
3,3,LaMarcus Aldridge,Center,35.0,26.0,23.0,25.9,-0.2,-0.2,109.0,113.0,17628.34,20261.954,"(33, 36]","(19.999, 35.0]","(20.0, 40.0]","(20.0, 30.0]"
4,4,Nickeil Alexander-Walker,Guard,22.0,46.0,13.0,21.9,-1.4,0.1,101.0,112.0,3113.16,3578.255,"(21, 24]","(35.0, 50.0]","(-0.001, 20.0]","(20.0, 30.0]"
5,5,Grayson Allen,Guard,25.0,50.0,38.0,25.2,-0.2,0.1,116.0,113.0,2545.32,2925.582,"(24, 27]","(35.0, 50.0]","(20.0, 40.0]","(20.0, 30.0]"
6,6,Jarrett Allen,Center,22.0,63.0,45.0,29.6,1.3,-0.2,127.0,112.0,3909.902,4494.028,"(21, 24]","(50.0, 65.0]","(40.0, 60.0]","(20.0, 30.0]"
7,7,Al-Farouq Aminu,Forward,30.0,23.0,14.0,18.9,-4.9,1.1,91.0,111.0,9720.9,11173.169,"(27, 30]","(19.999, 35.0]","(-0.001, 20.0]","(10.0, 20.0]"
8,8,Kyle Anderson,Forward,27.0,69.0,69.0,27.3,1.4,1.9,118.0,109.0,9505.1,10925.129,"(24, 27]","(65.0, 82.0]","(60.0, 82.0]","(20.0, 30.0]"
9,9,Giannis Antetokounmpo,Forward,26.0,61.0,61.0,33.0,6.2,2.8,122.0,107.0,27528.088,31640.691,"(24, 27]","(50.0, 65.0]","(60.0, 82.0]","(30.0, 40.0]"
10,10,Thanasis Antetokounmpo,Forward,28.0,57.0,3.0,9.7,-3.7,0.2,104.0,112.0,1701.593,1955.805,"(27, 30]","(50.0, 65.0]","(-0.001, 20.0]","(-0.001, 10.0]"
11,11,Carmelo Anthony,Forward,36.0,69.0,3.0,24.5,0.2,-1.3,112.0,117.0,2564.753,2947.918,"(33, 36]","(65.0, 82.0]","(-0.001, 20.0]","(20.0, 30.0]"
12,12,Cole Anthony,Guard,20.0,47.0,34.0,27.1,-1.9,-1.4,98.0,116.0,3285.12,3775.905,"(18, 21]","(35.0, 50.0]","(20.0, 40.0]","(20.0, 30.0]"
13,13,OG Anunoby,Forward,23.0,43.0,43.0,33.3,0.8,0.4,113.0,112.0,3872.215,4450.71,"(21, 24]","(35.0, 50.0]","(40.0, 60.0]","(30.0, 40.0]"
14,14,Ryan Arcidiacono,Guard,26.0,44.0,0.0,10.2,-2.6,0.3,118.0,114.0,3000.0,3448.189,"(24, 27]","(35.0, 50.0]","(-0.001, 20.0]","(10.0, 20.0]"
15,15,Trevor Ariza,Forward,35.0,30.0,27.0,28.0,-1.2,0.1,111.0,111.0,12800.0,14712.276,"(33, 36]","(19.999, 35.0]","(20.0, 40.0]","(20.0, 30.0]"
16,16,DJ Augustin,Guard,33.0,57.0,12.0,19.8,-0.6,-1.5,117.0,117.0,6666.667,7662.644,"(30, 33]","(50.0, 65.0]","(-0.001, 20.0]","(10.0, 20.0]"
17,17,Deni Avdija,Forward,20.0,54.0,32.0,23.3,-3.6,0.4,103.0,113.0,4469.16,5136.837,"(18, 21]","(50.0, 65.0]","(20.0, 40.0]","(20.0, 30.0]"
