,Unnamed: 0,Player,Pos,Age,G,GS,MP,eFG%,FTR,TRB%,TOV%,Salary,Salary Adjusted,age_bin,games_bin,games_started_bin,mins_bin
0,0,Precious Achiuwa,Forward,21.0,61.0,4.0,12.1,54.400000000000006,24.324324324324323,16.1,13.5,2582.16,2967.925,"(18, 21]","(50.0, 65.0]","(0, 20]","(10.0, 20.0]"
1,1,Steven Adams,Center,27.0,58.0,58.0,27.7,61.4,18.867924528301888,17.4,17.5,29592.695,34013.743,"(24, 27]","(50.0, 65.0]","(40, 60]","(20.0, 30.0]"
2,2,Bam Adebayo,Center,23.0,64.0,64.0,33.5,57.1,35.2,15.3,15.0,5115.492,5879.729,"(21, 24]","(50.0, 65.0]","(60, 82]","(30.0, 40.0]"
3,3,LaMarcus Aldridge,Center,35.0,26.0,23.0,25.9,52.5,14.035087719298245,9.4,7.9,17628.34,20261.954,"(33, 36]","(19.999, 35.0]","(20, 40]","(20.0, 30.0]"
4,4,Nickeil Alexander-Walker,Guard,22.0,46.0,13.0,21.9,50.2,10.0,7.8,12.4,3113.16,3578.255,"(21, 24]","(35.0, 50.0]","(0, 20]","(20.0, 30.0]"
5,5,Grayson Allen,Guard,25.0,50.0,38.0,25.2,54.7,19.277108433734934,6.7,9.6,2545.32,2925.582,"(24, 27]","(35.0, 50.0]","(20, 40]","(20.0, 30.0]"
6,6,Jarrett Allen,Center,22.0,63.0,45.0,29.6,62.4,41.55844155844156,18.9,14.1,3909.902,4494.028,"(21, 24]","(50.0, 65.0]","(40, 60]","(20.0, 30.0]"
7,7,Al-Farouq Aminu,Forward,30.0,23.0,14.0,18.9,42.4,18.6046511627907,13.3,20.5,9720.9,11173.169,"(27, 30]","(19.999, 35.0]","(0, 20]","(10.0, 20.0]"
8,8,Kyle Anderson,Forward,27.0,69.0,69.0,27.3,54.0,22.10526315789474,11.1,10.4,9505.1,10925.129,"(24, 27]","(65.0, 82.0]","(60, 82]","(20.0, 30.0]"
9,9,Giannis Antetokounmpo,Forward,26.0,61.0,61.0,33.0,60.0,36.11111111111111,17.5,13.2,27528.088,31640.691,"(24, 27]","(50.0, 65.0]","(60, 82]","(30.0, 40.0]"
10,10,Thanasis Antetokounmpo,Forward,28.0,57.0,3.0,9.7,51.5,16.666666666666668,11.8,21.3,1701.593,1955.805,"(27, 30]","(50.0, 65.0]","(0, 20]","(-0.001, 10.0]"
11,11,Carmelo Anthony,Forward,36.0,69.0,3.0,24.5,50.6,17.699115044247787,6.8,6.7,2564.753,2947.918,"(33, 36]","(65.0, 82.0]","(0, 20]","(20.0, 30.0]"
12,12,Cole Anthony,Guard,20.0,47.0,34.0,27.1,44.9,19.65811965811966,9.0,14.8,3285.12,3775.905,"(18, 21]","(35.0, 50.0]","(20, 40]","(20.0, 30.0]"
13,13,OG Anunoby,Forward,23.0,43.0,43.0,33.3,57.99999999999999,15.702479338842975,9.1,11.7,3872.215,4450.71,"(21, 24]","(35.0, 50.0]","(40, 60]","(30.0, 40.0]"
14,14,Ryan Arcidiacono,Guard,26.0,44.0,0.0,10.2,52.6,11.11111111111111,8.3,7.4,3000.0,3448.189,"(24, 27]","(35.0, 50.0]",,"(10.0, 20.0]"
15,15,Trevor Ariza,Forward,35.0,30.0,27.0,28.0,51.5,13.750000000000002,9.8,7.5,12800.0,14712.276,"(33, 36]","(19.999, 35.0]","(20, 40]","(20.0, 30.0]"
16,16,DJ Augustin,Guard,33.0,57.0,12.0,19.8,51.5,25.0,4.4,14.5,6666.667,7662.644,"(30, 33]","(50.0, 65.0]","(0, 20]","(10.0, 20.0]"
17,17,Deni Avdija,Forward,20.0,54.0,32.0,23.3,50.2,8.620689655172415,11.0,9.0,4469.16,5136.837,"(18, 21]","(50.0, 65.0]","(20, 40]","(20.0, 30.0]"
18,18,Deandre Ayton,Center,22.0,69.0,69.0,30.7,62.9,19.0,19.5,11.9,10018.2,11514.885,"(21, 24]","(65.0, 82.0]","(60, 82]","(30.0, 40.0]"
19,19,Dwayne Bacon,Guard,25.0,72.0,50.0,25.7,44.3,19.8019801980198,6.3,5.4,1678.854,1929.669,"(24, 27]","(65.0, 82.0]","(40, 60]","(20.0, 30.0]"
20,20,Marvin Bagley,Forward,21.0,43.0,42.0,25.9,54.2,15.789473684210526,15.9,9.7,8963.64,10302.777,"(18, 21]","(35.0, 50.0]","(40, 60]","(20.0, 30.0]"
21,21,LaMelo Ball,Guard,19.0,51.0,31.0,28.8,50.4,18.939393939393938,11.1,16.3,7839.96,9011.223,"(18, 21]","(50.0, 65.0]","(20, 40]","(20.0, 30.0]"
22,22,Lonzo Ball,Guard,23.0,55.0,55.0,31.8,53.7,7.086614173228346,8.2,14.5,11003.782,12647.709,"(21, 24]","(50.0, 65.0]","(40, 60]","(30.0, 40.0]"
23,23,Mo Bamba,Center,22.0,46.0,5.0,15.8,53.5,15.384615384615383,19.0,9.8,5969.04,6860.794,"(21, 24]","(35.0, 50.0]","(0, 20]","(10.0, 20.0]"
24,24,Desmond Bane,Guard,22.0,68.0,17.0,22.3,58.6,8.21917808219178,7.3,10.2,1936.44,2225.737,"(21, 24]","(65.0, 82.0]","(0, 20]","(20.0, 30.0]"
25,25,Harrison Barnes,Forward,28.0,58.0,58.0,36.2,57.49999999999999,30.630630630630627,10.2,11.1,22215.909,25534.89,"(27, 30]","(50.0, 65.0]","(40, 60]","(30.0, 40.0]"
26,26,RJ Barrett,Guard,20.0,72.0,72.0,34.9,49.9,19.727891156462583,8.9,10.5,8231.76,9461.557,"(18, 21]","(65.0, 82.0]","(60, 82]","(30.0, 40.0]"
27,27,Will Barton,Forward,30.0,56.0,52.0,31.0,50.7,15.596330275229356,7.4,12.7,13723.214,15773.415,"(27, 30]","(50.0, 65.0]","(40, 60]","(30.0, 40.0]"
28,28,Keita Bates-Diop,Forward,25.0,30.0,0.0,8.2,48.5,22.727272727272727,10.6,8.4,449.115,516.211,"(24, 27]","(19.999, 35.0]",,"(-0.001, 10.0]"
29,29,Nicolas Batum,Forward,32.0,67.0,38.0,27.4,59.7,11.475409836065571,9.7,10.8,11608.231,13342.461,"(30, 33]","(65.0, 82.0]","(20, 40]","(20.0, 30.0]"
30,30,Aron Baynes,Center,34.0,53.0,31.0,18.5,48.5,8.771929824561402,15.3,12.5,7000.0,8045.776,"(33, 36]","(50.0, 65.0]","(20, 40]","(10.0, 20.0]"
31,31,Kent Bazemore,Forward,31.0,67.0,18.0,19.9,54.50000000000001,13.559322033898304,9.1,16.1,2320.044,2666.65,"(30, 33]","(65.0, 82.0]","(0, 20]","(10.0, 20.0]"
32,32,Darius Bazley,Forward,20.0,55.0,55.0,31.2,45.6,18.4,12.0,13.7,2399.16,2757.586,"(18, 21]","(50.0, 65.0]","(40, 60]","(30.0, 40.0]"
33,33,Bradley Beal,Guard,27.0,60.0,60.0,35.8,53.2,29.565217391304348,7.0,10.6,28751.774,33047.191,"(24, 27]","(50.0, 65.0]","(40, 60]","(30.0, 40.0]"
34,34,Malik Beasley,Guard,24.0,37.0,36.0,32.8,54.7,11.111111111111112,7.2,8.6,13425.895,15431.678,"(21, 24]","(35.0, 50.0]","(20, 40]","(30.0, 40.0]"
35,35,DeAndre Bembry,Forward,26.0,51.0,12.0,19.1,54.400000000000006,20.0,8.3,21.6,1737.145,1996.668,"(24, 27]","(50.0, 65.0]","(0, 20]","(10.0, 20.0]"
36,36,Davis Bertans,Forward,28.0,57.0,7.0,25.7,58.1,21.428571428571427,6.1,5.9,15000.0,17240.949,"(27, 30]","(50.0, 65.0]","(0, 20]","(20.0, 30.0]"
37,37,Patrick Beverley,Guard,32.0,37.0,34.0,22.5,55.00000000000001,16.94915254237288,8.0,12.4,13333.333,15325.287,"(30, 33]","(35.0, 50.0]","(20, 40]","(20.0, 30.0]"
38,38,Saddiq Bey,Forward,21.0,70.0,53.0,27.3,53.0,18.181818181818183,9.3,7.4,2689.92,3091.784,"(18, 21]","(65.0, 82.0]","(40, 60]","(20.0, 30.0]"
39,39,Khem Birch,Center,28.0,67.0,22.0,22.8,51.4,24.561403508771928,13.4,9.2,3011.499,3461.406,"(27, 30]","(65.0, 82.0]","(20, 40]","(20.0, 30.0]"
40,40,Goga Bitadze,Center,21.0,45.0,3.0,12.5,47.9,23.25581395348837,14.5,7.1,2957.52,3399.363,"(18, 21]","(35.0, 50.0]","(0, 20]","(10.0, 20.0]"
41,41,Bismack Biyombo,Center,28.0,66.0,36.0,20.4,58.7,18.91891891891892,13.9,19.8,3500.0,4022.888,"(27, 30]","(65.0, 82.0]","(20, 40]","(20.0, 30.0]"
42,42,Nemanja Bjelica,Forward,32.0,37.0,3.0,16.1,52.3,18.867924528301888,11.9,13.1,7150.0,8218.185,"(30, 33]","(35.0, 50.0]","(0, 20]","(10.0, 20.0]"
43,43,Eric Bledsoe,Guard,31.0,71.0,70.0,29.7,50.3,18.44660194174757,6.3,12.3,16875.0,19396.067,"(30, 33]","(65.0, 82.0]","(60, 82]","(20.0, 30.0]"
44,44,Bogdan Bogdanovic,Guard,28.0,44.0,27.0,29.7,60.2,7.03125,6.7,8.5,18000.0,20689.139,"(27, 30]","(35.0, 50.0]","(20, 40]","(20.0, 30.0]"
45,45,Bojan Bogdanovic,Forward,31.0,72.0,72.0,30.8,53.6,25.0,6.7,10.9,17850.0,20516.729,"(30, 33]","(65.0, 82.0]","(60, 82]","(30.0, 40.0]"
